id,quiz_category_id,quiz_number,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,seo_slug,created_at
101,1,1,1,"During a pre-trip inspection, what should you do with the vehicle inspection report left by the previous driver?",Throw it away and start fresh,Review it and sign it to acknowledge any defects noted,Only read it if the vehicle looks damaged,File it without reading,B,You must review the previous driver's vehicle inspection report and sign it to acknowledge that you have seen it and that any defects noted have been certified as repaired or deemed unnecessary to repair.,knowledge-test-class-a-1-q1-during-a-pre-trip-inspection-what-should-you-do-with-the-veh,2026-02-14 23:53:06.985938+00
102,1,1,2,"At 55 mph, what is the approximate total stopping distance for a commercial vehicle on dry pavement?",About 200 feet,About 300 feet,Over 450 feet,About 600 feet,C,"At 55 mph the total stopping distance is over 450 feet, which includes perception distance (142 feet), reaction distance (61 feet), and braking distance (216 feet). These three distances combined exceed 450 feet.",knowledge-test-class-a-1-q2-at-55-mph-what-is-the-approximate-total-stopping-distance-fo,2026-02-14 23:53:06.985938+00
103,1,1,3,What is the legal blood alcohol concentration (BAC) limit for a CDL driver operating a commercial motor vehicle?,0.08%,0.06%,0.02%,0.04%,D,"The legal BAC limit for CDL holders operating a commercial motor vehicle is 0.04%, which is half the limit for non-commercial drivers in most states.",knowledge-test-class-a-1-q3-what-is-the-legal-blood-alcohol-concentration-bac-limit-for,2026-02-14 23:53:06.985938+00
104,1,1,4,How far ahead do low beam headlights illuminate the road?,100 feet,250 feet,400 feet,500 feet,B,Low beam headlights illuminate the road approximately 250 feet ahead. This is important for night driving because you should always be able to stop within the distance you can see.,knowledge-test-class-a-1-q4-how-far-ahead-do-low-beam-headlights-illuminate-the-road,2026-02-14 23:53:06.985938+00
105,1,1,5,What is the minimum fire extinguisher rating required for most commercial motor vehicles?,2 A:B,10 B:C,5 B:C,3 A:B:C,C,All commercial motor vehicles are required to carry a fire extinguisher with a minimum rating of 5 B:C or higher. The B:C rating means it is effective against flammable liquid and electrical fires.,knowledge-test-class-a-1-q5-what-is-the-minimum-fire-extinguisher-rating-required-for-mo,2026-02-14 23:53:06.985938+00
106,1,1,6,What happens to stopping distance on wet roads compared to dry roads?,It stays the same,It doubles,It triples,It increases by 25%,B,"Wet roads can double your stopping distance. Reduced tire traction on wet pavement means it takes significantly longer to bring your vehicle to a complete stop, so you should reduce speed and increase following distance.",knowledge-test-class-a-1-q6-what-happens-to-stopping-distance-on-wet-roads-compared-to-d,2026-02-14 23:53:06.985938+00
107,1,1,7,"At speeds below 40 mph, what is the recommended following distance rule for a commercial vehicle?",1 second for every 5 feet of vehicle length,1 second for every 10 feet of vehicle length,2 seconds for every 10 feet of vehicle length,A flat 4 seconds regardless of vehicle length,B,"At speeds below 40 mph, you should maintain at least 1 second of following distance for every 10 feet of vehicle length. For example, a 60-foot vehicle should maintain at least 6 seconds of following distance.",knowledge-test-class-a-1-q7-at-speeds-below-40-mph-what-is-the-recommended-following-dis,2026-02-14 23:53:06.985938+00
108,1,1,8,"When driving above 40 mph, how should you adjust the following distance rule?",No adjustment is needed,Add 1 additional second to the standard following distance,Double the entire following distance,Add 3 additional seconds,B,"At speeds above 40 mph, you should add 1 additional second to the following distance calculated by the 1-second-per-10-feet rule. This extra second accounts for the increased stopping distance at higher speeds.",knowledge-test-class-a-1-q8-when-driving-above-40-mph-how-should-you-adjust-the-followin,2026-02-14 23:53:06.985938+00
109,1,1,9,At what speed can hydroplaning begin to occur?,50 mph,45 mph,40 mph,30 mph,D,"Hydroplaning can occur at speeds as low as 30 mph when there is standing water on the road surface. When your tires lose contact with the road and ride on a film of water, you lose steering and braking control.",knowledge-test-class-a-1-q9-at-what-speed-can-hydroplaning-begin-to-occur,2026-02-14 23:53:06.985938+00
110,1,1,10,What is the maximum legal weight allowed on a single axle?,"12,000 lbs","20,000 lbs","34,000 lbs","40,000 lbs",B,"The maximum weight generally allowed on a single axle is 20,000 lbs. Exceeding this limit can cause damage to roads and bridges and is a violation of federal weight regulations.",knowledge-test-class-a-1-q10-what-is-the-maximum-legal-weight-allowed-on-a-single-axle,2026-02-14 23:53:06.985938+00
